,lambda(nm),T M45_LC,T M45_RC,T P45_LC,T P45_RC
210,373.134,0.118397,0.115638,0.115638,0.118397
211,372.024,0.118022,0.11526,0.11526,0.118022
212,370.92,0.117626,0.114847,0.114847,0.117626
213,369.822,0.117198,0.114417,0.114417,0.117198
214,368.732,0.11674,0.113996,0.113996,0.11674
215,367.647,0.11626,0.113586,0.113586,0.11626
216,366.569,0.115755,0.113157,0.113157,0.115755
217,365.497,0.115211,0.11266,0.11266,0.115211
218,364.431,0.11461,0.112065,0.112065,0.11461
219,363.372,0.113962,0.111392,0.111392,0.113962
220,362.319,0.113318,0.110718,0.110718,0.113318
221,361.272,0.112764,0.110141,0.110141,0.112764
222,360.231,0.112368,0.109725,0.109725,0.112368
223,359.195,0.11214,0.109443,0.109443,0.11214
224,358.166,0.112014,0.109189,0.109189,0.112014
225,357.143,0.111888,0.108838,0.108838,0.111888
226,356.125,0.111673,0.108341,0.108341,0.111673
227,355.114,0.111341,0.107749,0.107749,0.111341
228,354.108,0.110915,0.107174,0.107174,0.110915
229,353.107,0.110437,0.106686,0.106686,0.110437
230,352.113,0.109931,0.106262,0.106262,0.109931
231,351.124,0.109398,0.105811,0.105811,0.109398
232,350.14,0.108833,0.105267,0.105267,0.108833
233,349.162,0.108242,0.104643,0.104643,0.108242
234,348.189,0.107643,0.104015,0.104015,0.107643
235,347.222,0.10705,0.103442,0.103442,0.10705
236,346.26,0.106461,0.102908,0.102908,0.106461
237,345.304,0.105864,0.102349,0.102349,0.105864
238,344.353,0.105253,0.101724,0.101724,0.105253
239,343.407,0.104638,0.10106,0.10106,0.104638
240,342.466,0.104029,0.10042,0.10042,0.104029
241,341.53,0.10343,0.0998381,0.0998381,0.10343
242,340.599,0.102833,0.099284,0.099284,0.102833
243,339.674,0.102229,0.0986992,0.0986992,0.102229
244,338.753,0.10162,0.0980629,0.0980629,0.10162
245,337.838,0.101014,0.0974133,0.0974133,0.101014
246,336.927,0.100421,0.096805,0.096805,0.100421
247,336.022,0.099835,0.0962495,0.0962495,0.099835
248,335.121,0.0992487,0.0957041,0.0957041,0.0992487
249,334.225,0.0986583,0.0951215,0.0951215,0.0986583
250,333.333,0.0980709,0.0945021,0.0945021,0.0980709
251,332.447,0.0974961,0.0938934,0.0938934,0.0974961
252,331.565,0.0969356,0.0933368,0.0933368,0.0969356
253,330.688,0.0963816,0.0928228,0.0928228,0.0963816
254,329.815,0.0958272,0.0923036,0.0923036,0.0958272
255,328.947,0.0952752,0.0917473,0.0917473,0.0952752
